# Ghost Glove Flex Calibration — Fist
t_s,flex_ring,flex_middle,flex_index,flex_thumb
27.710,4513,6272,3459,5201
27.740,4503,6251,3454,5207
27.770,4597,6259,3375,5172
27.801,4620,6327,3466,5187
27.860,4568,6285,3469,5232
27.860,4585,6243,3355,5190
27.889,4704,6280,3443,5177
27.950,4615,6196,3537,5213
27.981,4573,6166,3433,5194
28.011,4621,6229,3423,5145
28.039,4616,6278,3524,5186
28.070,4498,6230,3451,5202
28.099,4591,6256,3346,5171
28.131,4646,6317,3449,5184
28.191,4583,6266,3470,5241
28.229,4577,6212,3371,5192
28.250,4692,6274,3432,5178
28.281,4618,6304,3549,5212
28.311,4544,6223,3442,5195
28.340,4611,6266,3417,5144
28.370,4622,6301,3504,5185
28.400,4516,6146,3465,5198
28.460,4592,6255,3353,5171
28.488,4671,6317,3454,5189
28.518,4597,6284,3471,5239
28.549,4576,6206,3394,5192
28.579,4671,6284,3437,5173
28.609,4608,6339,3553,5198
28.638,4511,6283,3445,5193
28.699,4601,6308,3423,5153
28.746,4626,6376,3487,5192
28.759,4547,6318,3457,5218
28.789,4600,6323,3337,5187
28.850,4695,6334,3441,5180
28.850,4606,6323,3488,5232
28.880,4573,6232,3414,5191
28.910,4649,6302,3436,5162
28.971,4611,6328,3570,5191
29.000,4512,6281,3463,5207
29.030,4595,6292,3387,5161
29.060,4627,6423,3475,5183
29.090,4557,6375,3469,5224
29.120,4591,6350,3341,5189
